P  ; A ; with ; Of, with, within, to
N  ; Af ; you ; They, you (plural)
TENSE  ; Ad ; did ; Did, done
N  ; Agril ; silver ; Silver metal
N  ; Agrul ; Stone carving ; lines on the face of an old Dwarf
ADJ  ; Ald ; Old ;
N  ; Aldrhun ; Old runes ;
TENSE   ; An ; shall ; Will, shall, am going to, with purpose
TENSE   ; Anad ; shall have done ;
N   ; Angaz ; Ironwork ; industrial work
N   ; Ang ; Ironwork ; industrial work
N   ; Ankor ; realm ; country
ADV   ; Anu ; very soon ; any minute now!
N  ; Argul ; Stone carving ; lines on the face of a very old Dwarf
N  ; Arkhandrazkal ; rune inscribing ; The art of inscribing runes on precious metal with a Troll's tooth
N  ; Az ; War axe ;
N  ; Az-Dreugi ; Great axe ;
N  ; Azgal ; Treasure hoard ;
N  ; Azkahr ; Massive masonry ;
N  ; Azril ; Silvery colour ;
N  ; Azul ; a sturdy Dwarf ;


V   ; Bak ; punch ;
N   ; Bar ; Fortified gate ;
N   ; Barak ; Fortified gate ;
N   ; Barag ; Cannon ; siege machine, war machine
V   ; Baraz ; oath ;
V   ; Bezek ; Own ;
N   ; Bezeki ; Owner ; 
P   ; Bin ; In ;
N   ; Boga ; A candle which blows out unexpectedly ; making a tunnel dark
N   ; Bok ; Banging one's head on a low tunnel ceiling ; a characteristic scar caused by this.
N   ; Boki ; Dwarf miners ;
N   ; Bolg ; Large fat belly ; Also a state of extreme wealth, age and contentment
ADJ   ; Bran ; Clever ; alert, mentally sharp
N   ; Brodag ; An annual brewing festival of Grungni
N   ; Brog ; Bread ; cake
N   ; Bryn ; Gold ; which shines brightly in the sunlight. Anything that is shiny or brilliant, or brilliantly coloured or decorated.
N   ; Brynduraz ; Brightstone


N   ; Chuf ; emergency cheese ; Piece of old cheese kept under a miner's hat for emergencies

ADJ   ; Dal ; good old ;
N   ; Dammaz ; Grudge ; bitterness
N   ; Dammaz-Kron ; The Book of Grudges ;
N   ; Dar ; challenge ;
N   ; Dawi ; Dwarfs ;
N   ; Dawi'zharr ; Chaos Dwarfs ;
ADJ   ; Dawr ; reliable ;
ADJ   ; Deb ; raw ;
N   ; Dharkhangron ; underground ;
ADJ   ; Doh ; Stupid ;
V   ; Dok ; behold ;
N   ; Dongliz ; dick ;
ADJ   ; Dork ; Giant ;
N   ; Drakendrengi ; Dragonslayer ;
N   ; Drakk ; Dragon ;
N   ; Drangthrong ; Huge Dwarf army ;
N   ; Drazh ; Black ;
ADJ   ; Drek ; Far ;
V   ; Dreng ; slay ;
N   ; Drengi ; Slayer ;
N   ; Drin ; Road ;
N   ; Dringorak ; secret passageway ;
N   ; Dron ; Thunder ;
N   ; Drongnel ; A Dragon stew with strong mushrooms, marinated in strong ale ;
V   ; Drung ; defeat ;
N   ; Duk ; Low, narrow tunnel ;
